### NIRSPEC Brown Dwarf Spectroscopic Survey (BDSS)
### McLean et al. 2007, ApJ, 658. 1217; Rice et al. 2010, ApJS, 186, 63
### Please cite the above references if you use  
### or display this data in your publication.
### GL 577BC -- NIRSPEC-3 Filter, dispersion order 59
### lambda (microns)   Flambda (Normalized)
       1.2823071      0.97216253
       1.2823256      0.94421876
       1.2823441      0.94064778
       1.2823626      0.92688638
       1.2823811      0.91960648
       1.2823995      0.88540490
       1.2824180      0.83564144
       1.2824365      0.80550864
       1.2824550      0.88036657
       1.2824734      0.85811955
       1.2824919      0.86794178
       1.2825104      0.86181790
       1.2825289      0.86988981
       1.2825474      0.86147114
       1.2825658      0.87873102
       1.2825843      0.87194083
       1.2826028      0.88791841
       1.2826213      0.88913911
       1.2826397      0.90706815
       1.2826582      0.90609543
       1.2826767      0.91796026
       1.2826952      0.92981794
       1.2827136      0.93493761
       1.2827321      0.92405181
       1.2827506      0.93228344
       1.2827691      0.92891483
       1.2827876      0.93593612
       1.2828060      0.96016103
       1.2828245      0.96773102
       1.2828430      0.96375309
       1.2828615      0.96937342
       1.2828799      0.97125293
       1.2828984      0.98328493
       1.2829169      0.98213595
       1.2829354      0.97809745
       1.2829539      0.97956491
       1.2829723      0.97192033
       1.2829908      0.97467338
       1.2830093      0.96331274
       1.2830278      0.97174391
       1.2830462      0.96242074
       1.2830647      0.97343066
       1.2830832      0.96269666
       1.2831017      0.96837209
       1.2831202      0.96363204
       1.2831386      0.96378101
       1.2831571      0.96609550
       1.2831757      0.96204936
       1.2831942      0.96414321
       1.2832127      0.96875847
       1.2832311      0.96639641
       1.2832496      0.95891353
       1.2832681      0.95981572
       1.2832866      0.94960907
       1.2833050      0.94967408
       1.2833235      0.94912530
       1.2833420      0.93826931
       1.2833605      0.91530752
       1.2833790      0.90640527
       1.2833974      0.90850426
       1.2834159      0.90122255
       1.2834344      0.89063287
       1.2834529      0.90569863
       1.2834713      0.90271227
       1.2834898      0.91017891
       1.2835083      0.91461500
       1.2835268      0.92129302
       1.2835453      0.92427591
       1.2835637      0.93536818
       1.2835822      0.94691908
       1.2836007      0.95071872
       1.2836192      0.93196364
       1.2836376      0.98787528
       1.2836560      0.98391224
       1.2836745      0.98566863
       1.2836930      0.99834855
       1.2837114       1.0025428
       1.2837299       1.0040220
       1.2837484       1.0019956
       1.2837669       1.0102452
       1.2837854       1.0014735
       1.2838038       1.0029411
       1.2838223      0.99393188
       1.2838408       1.0009987
       1.2838593      0.98003433
       1.2838777      0.97641027
       1.2838962      0.97150472
       1.2839147      0.97031262
       1.2839332      0.95891118
       1.2839517      0.95967514
       1.2839701      0.96348288
       1.2839886      0.96779978
       1.2840071      0.95824063
       1.2840257      0.96501028
       1.2840442      0.95955490
       1.2840626      0.96747286
       1.2840811      0.96196382
       1.2840996      0.94959744
       1.2841181      0.95724744
