### NIRSPEC Brown Dwarf Spectroscopic Survey (BDSS)
### McLean et al. 2007, ApJ, 658. 1217
### Please cite the above reference if you use  
### or display this data in your publication.
###     Wolf 359 -- NIRSPEC-3 Filter, dispersion order 58
### lambda (microns)   Flambda (Normalized)
       1.3044714      0.92701733
       1.3044902      0.92874286
       1.3045092      0.93243277
       1.3045280      0.92746086
       1.3045469      0.91730253
       1.3045658      0.91507177
       1.3045847      0.91402111
       1.3046035      0.91813960
       1.3046223      0.91222921
       1.3046413      0.91999647
       1.3046601      0.93100121
       1.3046789      0.93823519
       1.3046979      0.95157866
       1.3047167      0.95956137
       1.3047356      0.96578677
       1.3047545      0.95699083
       1.3047734      0.94611508
       1.3047922      0.93594880
       1.3048110      0.93165599
       1.3048300      0.93225329
       1.3048488      0.92769408
       1.3048677      0.92851572
       1.3048866      0.94415679
       1.3049054      0.95701887
       1.3049243      0.97232530
       1.3049431      0.97281604
       1.3049621      0.97314320
       1.3049809      0.96911445
       1.3049997      0.96747865
       1.3050186      0.96493615
       1.3050374      0.95516340
       1.3050563      0.94851737
       1.3050752      0.93971208
       1.3050941      0.93379656
       1.3051129      0.92210431
       1.3051317      0.92407055
       1.3051507      0.92150982
       1.3051695      0.91913977
       1.3051883      0.92779597
       1.3052073      0.93985697
       1.3052261      0.94294162
       1.3052450      0.95588783
       1.3052638      0.96785722
       1.3052828      0.97702706
       1.3053016      0.96383315
       1.3053204      0.94124039
       1.3053394      0.93451958
       1.3053582      0.93526270
       1.3053771      0.95710767
       1.3053960      0.97959293
       1.3054148      0.98314496
       1.3054337      0.97307309
       1.3054525      0.97757389
       1.3054715      0.98055572
       1.3054903      0.98610342
       1.3055091      0.99130060
       1.3055281      0.99705862
       1.3055469      0.99817564
       1.3055658      0.99214187
       1.3055846      0.98972556
       1.3056036      0.99599302
       1.3056224      0.99043129
       1.3056412      0.98127547
       1.3056602      0.97779823
       1.3056790      0.96830123
       1.3056978      0.96029515
       1.3057167      0.94795185
       1.3057356      0.94903615
       1.3057545      0.94809674
       1.3057733      0.94257707
       1.3057923      0.93832866
       1.3058111      0.94457275
       1.3058299      0.94863421
       1.3058489      0.94126376
       1.3058677      0.93510333
       1.3058866      0.92902189
       1.3059054      0.91832561
       1.3059243      0.92141541
       1.3059432      0.91362946
       1.3059620      0.90962548
       1.3059810      0.90368191
       1.3059998      0.90636323
       1.3060186      0.90997180
       1.3060375      0.91209134
       1.3060564      0.90653148
       1.3060753      0.90571965
       1.3060941      0.91649772
       1.3061131      0.92541190
       1.3061319      0.92261655
       1.3061507      0.92942009
       1.3061697      0.92566849
       1.3061885      0.93113347
       1.3062073      0.93403445
       1.3062262      0.92893636
       1.3062451      0.92758472
       1.3062640      0.92827923
       1.3062828      0.94266587
       1.3063018      0.94760600
       1.3063206      0.94669462
       1.3063394      0.94792848
       1.3063582      0.95204136
       1.3063771      0.95197125
       1.3063960      0.95644367
       1.3064148      0.96088103
       1.3064337      0.96531839
       1.3064526      0.96975576
       1.3064714      0.97419312
       1.3064902      0.97863048
       1.3065092      0.99765219
       1.3065280       1.0012977
       1.3065469      0.98588843
       1.3065658      0.97207292
       1.3065847      0.97134382
       1.3066035      0.96752072
       1.3066225      0.97451727
       1.3066413      0.97009594
       1.3066601      0.96229550
       1.3066790      0.94977928
       1.3066979      0.95268166
       1.3067167      0.97433033
